0
PyTorch
TensorFlow
JAX
Transformers
Safetensors
TensorBoard
Diffusers
PEFT
stable-baselines3
ONNX
GGUF
ml-agents
sentence-transformers
Keras
timm
sample-factory
setfit
Flair
Adapters
Transformers.js
spaCy
ESPnet
fastai
MLX
Core ML
NeMo
Rust
Joblib
BERTopic
TF Lite
fastText
OpenCLIP
speechbrain
Scikit-learn
PaddlePaddle
OpenVINO
Fairseq
Graphcore
Asteroid
Stanza
AllenNLP
SpanMarker
paddlenlp
Habana
pyannote.audio
pythae
unity-sentis
