0
What is the name of the model?
Who created/uploaded the model?
When was the model created/uploaded?
What tasks can the model solve?
What datasets was the model trained on?
What was the split distribution for the datasets?
What datasets were used to finetune the model?
What datasets were used to retrain the model?
What model is used as the base model?
What evaluation metrics were used?
What were the values of the evaluation metrics?
What hyperparameters were optimized during the training process?
What hyperparameters were selected?
What publications are related to the model?
Where is the model deployed?
What use license is associated with the model?
